Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P26262	KLKB1_MOUSE	reviewed	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	Klkb1 Klk3 Pk	Mus musculus (Mouse)	638
P02468	LAMC1_MOUSE	reviewed	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	Lamc1 Lamb-2 Lamc-1	Mus musculus (Mouse)	1607
Q61092	LAMC2_MOUSE	reviewed	Laminin subunit gamma-2 (Epiligrin subunit gamma) (Kalinin subunit gamma) (Kalinin/nicein/epiligrin 100 kDa subunit) (Laminin B2t chain) (Laminin-5 subunit gamma) (Nicein subunit gamma)	Lamc2	Mus musculus (Mouse)	1191
Q91V13	LEAP2_MOUSE	reviewed	Liver-expressed antimicrobial peptide 2 (LEAP-2)	Leap2	Mus musculus (Mouse)	76
Q6Y4S4	KISS1_MOUSE	reviewed	Metastasis-suppressor KiSS-1 (Kisspeptin-1) [Cleaved into: Metastin (Kisspeptin-52); Kisspeptin-10 (Metastin45-54)]	Kiss1	Mus musculus (Mouse)	130
Q9Z0M1	KLK4_MOUSE	reviewed	Kallikrein-4 (EC 3.4.21.-) (Enamel matrix serine proteinase 1) (Kallikrein-like protein 1) (Serine protease 17)	Klk4 EMSP1 KLK-L1 Prss17	Mus musculus (Mouse)	255
Q91VE3	KLK7_MOUSE	reviewed	Kallikrein-7 (EC 3.4.21.117) (Serine protease 6) (Stratum corneum chymotryptic enzyme) (Thymopsin)	Klk7 Prss6 Scce	Mus musculus (Mouse)	249
O08677	KNG1_MOUSE	reviewed	Kininogen-1 [Cleaved into: Kininogen-1 heavy chain; Bradykinin; Kininogen-1 light chain]	Kng1 Kng	Mus musculus (Mouse)	661
Q3V2T4	KTDAP_MOUSE	reviewed	Keratinocyte differentiation-associated protein	Krtdap Kdap	Mus musculus (Mouse)	102
P84750	KVM5_MOUSE	reviewed	Ig kappa chain V region Mem5 (Fragment)		Mus musculus (Mouse)	121
P19137	LAMA1_MOUSE	reviewed	Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha)	Lama1 Lama Lama-1	Mus musculus (Mouse)	3084
Q61001	LAMA5_MOUSE	reviewed	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	Lama5	Mus musculus (Mouse)	3718
Q9D267	LCN9_MOUSE	reviewed	Epididymal-specific lipocalin-9 (MUP-like lipocalin)	Lcn9	Mus musculus (Mouse)	178
O54974	LEG7_MOUSE	reviewed	Galectin-7 (Gal-7)	Lgals7	Mus musculus (Mouse)	136
O08573	LEG9_MOUSE	reviewed	Galectin-9 (Gal-9)	Lgals9	Mus musculus (Mouse)	353
P48356	LEPR_MOUSE	reviewed	Leptin receptor (LEP-R) (B219) (OB receptor) (OB-R) (CD antigen CD295)	Lepr Db Obr	Mus musculus (Mouse)	1162
P57785	LFTY2_MOUSE	reviewed	Left-right determination factor 2 (Left-right determination factor B) (Protein lefty-2) (Protein lefty-B)	Lefty2 Leftb	Mus musculus (Mouse)	368
P57016	LAD1_MOUSE	reviewed	Ladinin-1 (Lad-1) (Linear IgA disease antigen homolog) (LADA)	Lad1	Mus musculus (Mouse)	528
P29752	LALBA_MOUSE	reviewed	Alpha-lactalbumin (Lactose synthase B protein)	Lalba	Mus musculus (Mouse)	143
P16301	LCAT_MOUSE	reviewed	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase)	Lcat	Mus musculus (Mouse)	438
Q810Z1	LCN10_MOUSE	reviewed	Epididymal-specific lipocalin-10	Lcn10	Mus musculus (Mouse)	182
Q924P3	LCN8_MOUSE	reviewed	Epididymal-specific lipocalin-8 (Epididymal 17 kDa lipocalin) (EP17) (mEP17)	Lcn8	Mus musculus (Mouse)	175
Q8K406	LGI3_MOUSE	reviewed	Leucine-rich repeat LGI family member 3 (Leubrin) (Leucine-rich glioma-inactivated protein 3)	Lgi3	Mus musculus (Mouse)	548
P27656	LIPC_MOUSE	reviewed	Hepatic triacylglycerol lipase (HL) (Hepatic lipase) (EC 3.1.1.3) (Lipase member C)	Lipc Hpl	Mus musculus (Mouse)	510
Q9CPP7	LIPG_MOUSE	reviewed	Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3)	Lipf	Mus musculus (Mouse)	395
Q60675	LAMA2_MOUSE	reviewed	Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain)	Lama2	Mus musculus (Mouse)	3118
Q61789	LAMA3_MOUSE	reviewed	Laminin subunit alpha-3 (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)	Lama3	Mus musculus (Mouse)	3330
P02469	LAMB1_MOUSE	reviewed	Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta)	Lamb1 Lamb-1 Lamb1-1	Mus musculus (Mouse)	1786
Q61292	LAMB2_MOUSE	reviewed	Laminin subunit beta-2 (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta)	Lamb2 Lams	Mus musculus (Mouse)	1799
Q61087	LAMB3_MOUSE	reviewed	Laminin subunit beta-3 (Epiligrin subunit bata) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin-5 subunit beta) (Nicein subunit beta)	Lamb3	Mus musculus (Mouse)	1168
Q9R0B6	LAMC3_MOUSE	reviewed	Laminin subunit gamma-3 (Laminin-12 subunit gamma) (Laminin-14 subunit gamma) (Laminin-15 subunit gamma)	Lamc3	Mus musculus (Mouse)	1581
Q8CB14	LAS2_MOUSE	reviewed	Lung adenoma susceptibility protein 2	Las2	Mus musculus (Mouse)	526
O88803	LECT2_MOUSE	reviewed	Leukocyte cell-derived chemotaxin-2 (LECT-2) (Chondromodulin II) (ChM-II)	Lect2	Mus musculus (Mouse)	151
Q8K2A6	LIPM_MOUSE	reviewed	Lipase member M (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 3)	Lipm Lipl3	Mus musculus (Mouse)	422
P43137	LIT1_MOUSE	reviewed	Lithostathine-1 (Islet of Langerhans regenerating protein 1) (REG 1) (Pancreatic stone protein 1) (PSP) (Pancreatic thread protein 1) (PTP) (Regenerating protein 1)	Reg1	Mus musculus (Mouse)	165
P97927	LAMA4_MOUSE	reviewed	Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha)	Lama4	Mus musculus (Mouse)	1816
Q07797	LG3BP_MOUSE	reviewed	Galectin-3-binding protein (Cyp-C-associated protein) (CyCAP) (Lectin galactoside-binding soluble 3-binding protein) (Protein MAMA)	Lgals3bp Cycap Mama	Mus musculus (Mouse)	577
P58022	LOXL2_MOUSE	reviewed	Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2)	Loxl2	Mus musculus (Mouse)	776
Q924C6	LOXL4_MOUSE	reviewed	Lysyl oxidase homolog 4 (EC 1.4.3.-) (Lysyl oxidase-like protein 4) (Lysyl oxidase-related protein C)	Loxl4 Loxc	Mus musculus (Mouse)	757
Q9Z1F6	LECT1_MOUSE	reviewed	Leukocyte cell-derived chemotaxin 1 [Cleaved into: Chondrosurfactant protein (CH-SP); Chondromodulin-1 (Chondromodulin-I) (ChM-I)]	Lect1 Chmi	Mus musculus (Mouse)	334
Q8C6C9	LEG1H_MOUSE	reviewed	Protein LEG1 homolog	Leg1	Mus musculus (Mouse)	337
P16110	LEG3_MOUSE	reviewed	Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (IgE-binding protein) (L-34 galactoside-binding lectin) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	Lgals3	Mus musculus (Mouse)	264
P41160	LEP_MOUSE	reviewed	Leptin (Obesity factor)	Lep Ob	Mus musculus (Mouse)	167
Q8K4Z0	LGI2_MOUSE	reviewed	Leucine-rich repeat LGI family member 2 (Leucine-rich glioma-inactivated protein 2)	Lgi2 Kiaa1916	Mus musculus (Mouse)	550
Q9WVG5	LIPE_MOUSE	reviewed	Endothelial lipase (EC 3.1.1.3) (Endothelial cell-derived lipase) (EDL)	Lipg	Mus musculus (Mouse)	500
Q6P8U6	LIPP_MOUSE	reviewed	Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3)	Pnlip	Mus musculus (Mouse)	465
Q64280	LFTY1_MOUSE	reviewed	Left-right determination factor 1 (Protein lefty-1) (Lefty protein) (Stimulated by retinoic acid gene 3 protein) (Transforming growth factor beta-4) (TGF-beta-4)	Lefty1 Ebaf Lefty Stra3 Tgfb4	Mus musculus (Mouse)	368
Q8K1S1	LGI4_MOUSE	reviewed	Leucine-rich repeat LGI family member 4 (LGI1-like protein 3) (Leucine-rich glioma-inactivated protein 4)	Lgi4 Lgil3	Mus musculus (Mouse)	537
P09056	LIF_MOUSE	reviewed	Leukemia inhibitory factor (LIF) (Differentiation-stimulating factor) (D factor)	Lif	Mus musculus (Mouse)	203
P17892	LIPR2_MOUSE	reviewed	Pancreatic lipase-related protein 2 (PL-RP2) (EC 3.1.1.26) (EC 3.1.1.3) (Cytotoxic T-lymphocyte lipase) (Galactolipase)	Pnliprp2 Plrp2	Mus musculus (Mouse)	482
Q9JIA1	LGI1_MOUSE	reviewed	Leucine-rich glioma-inactivated protein 1	Lgi1	Mus musculus (Mouse)	557
Q8BM14	LIPK_MOUSE	reviewed	Lipase member K (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 2)	Lipk Lipl2	Mus musculus (Mouse)	398
P11152	LIPL_MOUSE	reviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)	Lpl	Mus musculus (Mouse)	474
Q3U4B4	LIPN_MOUSE	reviewed	Lipase member N (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 4)	Lipn Lipl4	Mus musculus (Mouse)	400
Q8CG19	LTBP1_MOUSE	reviewed	Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1) (TGF-beta1-BP-1)	Ltbp1	Mus musculus (Mouse)	1712
Q61810	LTBP3_MOUSE	reviewed	Latent-transforming growth factor beta-binding protein 3 (LTBP-3)	Ltbp3	Mus musculus (Mouse)	1268
Q8BGY3	LUZP2_MOUSE	reviewed	Leucine zipper protein 2	Luzp2	Mus musculus (Mouse)	345
O88188	LY86_MOUSE	reviewed	Lymphocyte antigen 86 (Ly-86) (Protein MD-1)	Ly86 Md1	Mus musculus (Mouse)	162
Q9WVC2	LYNX1_MOUSE	reviewed	Ly-6/neurotoxin-like protein 1 (GC26) (Secreted Ly-6/uPAR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2)	Lynx1 Slurp2	Mus musculus (Mouse)	131
P42703	LIFR_MOUSE	reviewed	Leukemia inhibitory factor receptor (LIF receptor) (LIF-R) (D-factor/LIF receptor) (CD antigen CD118)	Lifr	Mus musculus (Mouse)	1092
O09108	LSHB_MOUSE	reviewed	Lutropin subunit beta (Lutropin beta chain) (Luteinizing hormone subunit beta) (LH-B) (LSH-B) (LSH-beta)	Lhb	Mus musculus (Mouse)	141
Q9CWP4	LY6K_MOUSE	reviewed	Lymphocyte antigen 6K (Ly-6K)	Ly6k	Mus musculus (Mouse)	154
P28301	LYOX_MOUSE	reviewed	Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) (Ras excision protein)	Lox Rrg	Mus musculus (Mouse)	411
Q8CIV3	LIPH_MOUSE	reviewed	Lipase member H (EC 3.1.1.-)	Liph	Mus musculus (Mouse)	451
Q5BKQ4	LIPR1_MOUSE	reviewed	Inactive pancreatic lipase-related protein 1 (PL-RP1)	Pnliprp1	Mus musculus (Mouse)	473
Q08731	LIT2_MOUSE	reviewed	Lithostathine-2 (Islet of Langerhans regenerating protein 2) (REG-2) (Pancreatic stone protein 2) (PSP) (Pancreatic thread protein 2) (PTP)	Reg2	Mus musculus (Mouse)	173
Q9CXD9	LRC17_MOUSE	reviewed	Leucine-rich repeat-containing protein 17	Lrrc17	Mus musculus (Mouse)	443
P97873	LOXL1_MOUSE	reviewed	Lysyl oxidase homolog 1 (EC 1.4.3.-) (Lysyl oxidase 2) (Lysyl oxidase-like protein 1)	Loxl1 Lox2 Loxl	Mus musculus (Mouse)	607
Q9Z175	LOXL3_MOUSE	reviewed	Lysyl oxidase homolog 3 (EC 1.4.3.-) (Lysyl oxidase-like protein 3) (Lysyl oxidase-related protein 2)	Loxl3 Lor2	Mus musculus (Mouse)	754
Q8K1T4	LY65B_MOUSE	reviewed	Lymphocyte antigen 6 complex locus protein G5b	Ly6g5b	Mus musculus (Mouse)	194
Q9D7Q0	LYG1_MOUSE	reviewed	Lysozyme g-like protein 1 (EC 3.2.1.-)	Lyg1	Mus musculus (Mouse)	197
Q8BPP5	LYPD6_MOUSE	reviewed	Ly6/PLAUR domain-containing protein 6	Lypd6	Mus musculus (Mouse)	171
A2AE20	LYZL5_MOUSE	reviewed	Sperm acrosome-associated protein 5 (EC 3.2.1.17) (Lysozyme-like protein 5)	Spaca5 Gm718 Lyzl5	Mus musculus (Mouse)	160
Q91WP0	MASP2_MOUSE	reviewed	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	Masp2	Mus musculus (Mouse)	685
P51885	LUM_MOUSE	reviewed	Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican)	Lum Lcn Ldc	Mus musculus (Mouse)	338
Q8K1T5	LY65C_MOUSE	reviewed	Lymphocyte antigen 6 complex locus protein G5c	Ly6g5c	Mus musculus (Mouse)	149
P17897	LYZ1_MOUSE	reviewed	Lysozyme C-1 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Lysozyme C type P)	Lyz1 Lzp-s	Mus musculus (Mouse)	148
Q8CG85	MAMC2_MOUSE	reviewed	MAM domain-containing protein 2 (MAM domain-containing proteoglycan) (Mamcan)	Mamdc2	Mus musculus (Mouse)	686
Q924X6	LRP8_MOUSE	reviewed	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)	Lrp8 Apoer2	Mus musculus (Mouse)	996
Q9JHF9	LY96_MOUSE	reviewed	Lymphocyte antigen 96 (Ly-96) (ESOP-1) (Protein MD-2)	Ly96 Esop1 Md2	Mus musculus (Mouse)	160
Q3V1I0	LYG2_MOUSE	reviewed	Lysozyme g-like protein 2 (EC 3.2.1.-)	Lyg2 Gm776	Mus musculus (Mouse)	213
Q9CPX3	LYZL1_MOUSE	reviewed	Lysozyme-like protein 1 (EC 3.2.1.17)	Lyzl1 Lyc2	Mus musculus (Mouse)	148
Q9CXI5	MANF_MOUSE	reviewed	Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET)	Manf Armet	Mus musculus (Mouse)	179
P41317	MBL2_MOUSE	reviewed	Mannose-binding protein C (MBP-C) (Mannan-binding protein) (RA-reactive factor P28A subunit) (RARF/P28A)	Mbl2	Mus musculus (Mouse)	244
Q8BVU0	LRCH3_MOUSE	reviewed	Leucine-rich repeat and calponin homology domain-containing protein 3	Lrch3	Mus musculus (Mouse)	778
Q9D7S0	LYPD8_MOUSE	reviewed	Ly6/PLAUR domain-containing protein 8	Lypd8	Mus musculus (Mouse)	255
P98064	MASP1_MOUSE	reviewed	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	Masp1 Crarf Masp3	Mus musculus (Mouse)	704
O88174	MCP_MOUSE	reviewed	Membrane cofactor protein (CD antigen CD46)	Cd46 Mcp	Mus musculus (Mouse)	365
O08999	LTBP2_MOUSE	reviewed	Latent-transforming growth factor beta-binding protein 2 (LTBP-2)	Ltbp2	Mus musculus (Mouse)	1813
Q8K4G1	LTBP4_MOUSE	reviewed	Latent-transforming growth factor beta-binding protein 4 (LTBP-4)	Ltbp4	Mus musculus (Mouse)	1666
O08746	MATN2_MOUSE	reviewed	Matrilin-2	Matn2	Mus musculus (Mouse)	956
P11034	MCPT1_MOUSE	reviewed	Mast cell protease 1 (mMCP-1) (EC 3.4.21.-)	Mcpt1	Mus musculus (Mouse)	246
P08905	LYZ2_MOUSE	reviewed	Lysozyme C-2 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Lysozyme C type M)	Lyz2 Lyz Lyzs	Mus musculus (Mouse)	148
Q9D925	LYZL4_MOUSE	reviewed	Lysozyme-like protein 4 (Lysozyme-4)	Lyzl4 Lyc4	Mus musculus (Mouse)	145
Q9DA11	LYZL6_MOUSE	reviewed	Lysozyme-like protein 6 (EC 3.2.1.17)	Lyzl6 Lyc1	Mus musculus (Mouse)	148
O54782	MA2B2_MOUSE	reviewed	Epididymis-specific alpha-mannosidase (EC 3.2.1.24) (Mannosidase alpha class 2B member 2)	Man2b2 Kiaa0935	Mus musculus (Mouse)	1018
O89029	MATN4_MOUSE	reviewed	Matrilin-4 (MAT-4)	Matn4	Mus musculus (Mouse)	624
P39039	MBL1_MOUSE	reviewed	Mannose-binding protein A (MBP-A) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28B) (RaRF p28B)	Mbl1	Mus musculus (Mouse)	239
Q80V70	MEGF6_MOUSE	reviewed	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	Megf6 Egfl3	Mus musculus (Mouse)	1572
Q569E4	MENT_MOUSE	reviewed	Protein MENT (Methylated in normal thymocytes protein)	MENT Gm128	Mus musculus (Mouse)	350
Q61847	MEP1B_MOUSE	reviewed	Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B)	Mep1b Mep-1b	Mus musculus (Mouse)	704
Q9CQU1	MFAP1_MOUSE	reviewed	Microfibrillar-associated protein 1	Mfap1	Mus musculus (Mouse)	439
P56942	MCH_MOUSE	reviewed	Pro-MCH [Cleaved into: Neuropeptide-glycine-glutamic acid (NGE) (Neuropeptide G-E); Neuropeptide-glutamic acid-isoleucine (NEI) (Neuropeptide E-I); Melanin-concentrating hormone (MCH)]	Pmch Mch	Mus musculus (Mouse)	165
P43430	MCPT8_MOUSE	reviewed	Mast cell protease 8 (mMCP-8) (EC 3.4.21.-)	Mcpt8	Mus musculus (Mouse)	247
Q8C1Q4	METRN_MOUSE	reviewed	Meteorin (Hypoxia/reoxygenation regulatory factor)	Metrn Hyrac	Mus musculus (Mouse)	291
P51942	MATN1_MOUSE	reviewed	Cartilage matrix protein (Matrilin-1)	Matn1 Cmp Crtm	Mus musculus (Mouse)	500
O35701	MATN3_MOUSE	reviewed	Matrilin-3	Matn3	Mus musculus (Mouse)	481
Q812G0	MGT4A_MOUSE	reviewed	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]	Mgat4a	Mus musculus (Mouse)	535
Q61865	MIA_MOUSE	reviewed	Melanoma-derived growth regulatory protein (Cartilage-derived retinoic acid-sensitive protein) (CD-RAP) (Melanoma inhibitory activity protein)	Mia Cdrap Mia1	Mus musculus (Mouse)	130
Q9QZJ6	MFAP5_MOUSE	reviewed	Microfibrillar-associated protein 5 (MFAP-5) (Microfibril-associated glycoprotein 2) (MAGP-2)	Mfap5 Magp2	Mus musculus (Mouse)	164
P21956	MFGM_MOUSE	reviewed	Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (MP47)	Mfge8	Mus musculus (Mouse)	463
Q62000	MIME_MOUSE	reviewed	Mimecan (Osteoglycin)	Ogn Og	Mus musculus (Mouse)	298
Q8CCB5	MET24_MOUSE	reviewed	Methyltransferase-like protein 24 (EC 2.1.1.-)	Mettl24	Mus musculus (Mouse)	363
Q9D4R2	MGT4D_MOUSE	reviewed	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4D (EC 2.4.1.-)	Mgat4d	Mus musculus (Mouse)	373
Q91ZV0	MIA2_MOUSE	reviewed	Melanoma inhibitory activity protein 2	Mia2	Mus musculus (Mouse)	517
Q3TB92	MILR1_MOUSE	reviewed	Allergin-1 (Allergy inhibitory receptor 1) (Mast cell antigen 32) (MCA-32) (Mast cell Ag-32) (Mast cell immunoglobulin-like receptor 1)	Milr1 Gm885 Mca32	Mus musculus (Mouse)	246
P27106	MIS_MOUSE	reviewed	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	Amh	Mus musculus (Mouse)	555
P33435	MMP13_MOUSE	reviewed	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	Mmp13	Mus musculus (Mouse)	472
Q9EPL6	MMP1B_MOUSE	reviewed	Interstitial collagenase B (EC 3.4.24.7) (Matrix metalloproteinase-1b) (MMP-1b) (Mcol-B)	Mmp1b McolB	Mus musculus (Mouse)	463
Q9R0S2	MMP24_MOUSE	reviewed	Matrix metalloproteinase-24 (MMP-24) (EC 3.4.24.-) (Matrix metalloproteinase-21) (MMP-21) (Membrane-type matrix metalloproteinase 5) (MT-MMP 5) (MTMMP5) (Membrane-type-5 matrix metalloproteinase) (MT5-MMP) (MT5MMP) [Cleaved into: Processed matrix metalloproteinase-24]	Mmp24 Mmp21 Mt5mmp	Mus musculus (Mouse)	618
P28862	MMP3_MOUSE	reviewed	Stromelysin-1 (SL-1) (EC 3.4.24.17) (EMS-2) (Matrix metalloproteinase-3) (MMP-3) (Transin-1)	Mmp3	Mus musculus (Mouse)	477
O70138	MMP8_MOUSE	reviewed	Neutrophil collagenase (EC 3.4.24.34) (Collagenase 2) (Matrix metalloproteinase-8) (MMP-8)	Mmp8	Mus musculus (Mouse)	465
P41245	MMP9_MOUSE	reviewed	Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB)	Mmp9 Clg4b	Mus musculus (Mouse)	730
Q8K3F2	MMP21_MOUSE	reviewed	Matrix metalloproteinase-21 (MMP-21) (EC 3.4.24.-)	Mmp21	Mus musculus (Mouse)	568
Q9JLI3	MMEL1_MOUSE	reviewed	Membrane metallo-endopeptidase-like 1 (EC 3.4.24.11) (NEP2(m)) (Neprilysin II) (NEPII) (Neprilysin-2) (NEP2) (NL2) (Neprilysin-like 1) (NL-1) (Neprilysin-like peptidase) (NEPLP) (Soluble secreted endopeptidase) [Cleaved into: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted) (NEP2(s))]	Mmel1 Nep2 Nl1 Sep	Mus musculus (Mouse)	765
P34960	MMP12_MOUSE	reviewed	Macrophage metalloelastase (MME) (EC 3.4.24.65) (Matrix metalloproteinase-12) (MMP-12)	Mmp12 Mme Mmel	Mus musculus (Mouse)	473
Q10738	MMP7_MOUSE	reviewed	Matrilysin (EC 3.4.24.23) (Matrin) (Matrix metalloproteinase-7) (MMP-7) (Pump-1 protease) (Uterine metalloproteinase)	Mmp7	Mus musculus (Mouse)	264
Q8VE43	METRL_MOUSE	reviewed	Meteorin-like protein (Subfatin)	Metrnl	Mus musculus (Mouse)	311
P55002	MFAP2_MOUSE	reviewed	Microfibrillar-associated protein 2 (MFAP-2) (Microfibril-associated glycoprotein 1) (MAGP) (MAGP-1)	Mfap2 Magp Magp1	Mus musculus (Mouse)	183
Q9D1H9	MFAP4_MOUSE	reviewed	Microfibril-associated glycoprotein 4	Mfap4	Mus musculus (Mouse)	257
P19788	MGP_MOUSE	reviewed	Matrix Gla protein (MGP)	Mgp Mglap	Mus musculus (Mouse)	104
Q8R1M8	MPTX_MOUSE	reviewed	Mucosal pentraxin	Mptx1 Mptx	Mus musculus (Mouse)	219
P34884	MIF_MOUSE	reviewed	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Delayed early response protein 6) (DER6) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	Mif	Mus musculus (Mouse)	115
P12025	MK_MOUSE	reviewed	Midkine (MK) (Retinoic acid-induced differentiation factor)	Mdk Mk	Mus musculus (Mouse)	140
Q02853	MMP11_MOUSE	reviewed	Stromelysin-3 (SL-3) (ST3) (EC 3.4.24.-) (Matrix metalloproteinase-11) (MMP-11)	Mmp11	Mus musculus (Mouse)	492
B2RPV6	MMRN1_MOUSE	reviewed	Multimerin-1	Mmrn1	Mus musculus (Mouse)	1210
A6H6E2	MMRN2_MOUSE	reviewed	Multimerin-2	Mmrn2	Mus musculus (Mouse)	943
Q9R0S3	MMP17_MOUSE	reviewed	Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP)	Mmp17 Mt4mmp	Mus musculus (Mouse)	578
Q9JHI0	MMP19_MOUSE	reviewed	Matrix metalloproteinase-19 (MMP-19) (EC 3.4.24.-) (Matrix metalloproteinase RASI)	Mmp19 Rasi	Mus musculus (Mouse)	527
P33434	MMP2_MOUSE	reviewed	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) [Cleaved into: PEX]	Mmp2	Mus musculus (Mouse)	662
O55123	MMP10_MOUSE	reviewed	Stromelysin-2 (SL-2) (EC 3.4.24.22) (Matrix metalloproteinase-10) (MMP-10) (Transin-2)	Mmp10	Mus musculus (Mouse)	476
Q9EPL5	MMP1A_MOUSE	reviewed	Interstitial collagenase A (EC 3.4.24.7) (Matrix metalloproteinase-1a) (MMP-1a) (Mcol-A)	Mmp1a McolA	Mus musculus (Mouse)	464
